No.,Date,Site,Winner,Loser,Winner Score,Loser Score
XXVIII,"Jan. 30, 1994",Georgia Dome (Atlanta),Dallas,Buffalo,30,13
XXIX,"Jan. 29, 1995",Joe Robbie Stadium (Miami),San Francisco,San Diego,49,26
XXX,"Jan. 28, 1996","Sun Devil Stadium (Tempe, Ariz.)",Dallas,Pittsburgh,27,17
XXXI,"Jan. 26, 1997",Superdome (New Orleans),Green Bay,New England,35,21
XXXII,"Jan. 25, 1998",Qualcomm Stadium (San Diego),Denver,Green Bay,31,24
XXXIII,"Jan. 31, 1999",Pro Player Stadium (Miami),Denver,Atlanta,34,19
XXXIV,"Jan. 30, 2000",Georgia Dome (Atlanta),St. Louis,Tennessee,23,16
XXXV,"Jan. 28, 2001","Raymond James Stadium (Tampa, Fla.)",Baltimore,New York Giants,34,7
XXXVI,"Feb. 3, 2002",Superdome (New Orleans),New England,St. Louis,20,17
XXXVII,"Jan. 26, 2003",Qualcomm Stadium (San Diego),Tampa Bay,Oakland,48,21
XXXVIII,"Feb. 1, 2004",Reliant Stadium (Houston),New England,Carolina,32,29
XXXIX,"Feb. 6, 2005","Alltel Stadium (Jacksonville, Fla.)",New England,Philadelphia,24,21
XL,"Feb. 5, 2006",Ford Field (Detroit),Pittsburgh,Seattle,21,10
XLI,"Feb. 4, 2007",Dolphin Stadium (Miami),Indianapolis,Chicago,29,17
XLII,"Feb. 3, 2008","University of Phoenix Stadium (Glendale, Ariz.)",New York Giants,New England,17,14
XLIII,"Feb. 1, 2009","Raymond James Stadium (Tampa, Fla.)",Pittsburgh,Arizona,27,23
XLIV,"Feb. 7, 2010",Sun Life Stadium (Miami),New Orleans,Indianapolis,31,17
XLV,"Feb. 6, 2011","Cowboys Stadium (Arlington, Texas)",Green Bay,Pittsburgh,31,25
XLVI,"Feb. 5, 2012",Lucas Oil Stadium (Indianapolis),New York Giants,New England,21,17
XLVII,"Feb. 3, 2013",Mercedes-Benz Superdome (New Orleans),Baltimore,San Francisco,34,31
XLVIII,"Feb. 2, 2014","MetLife Stadium (East Rutherford, N.J.)",Seattle,Denver,43,8
XLIX,"Feb. 1, 2015","University of Phoenix Stadium (Glendale, Ariz.)",New England,Seattle,28,24
L,"Feb. 7, 2016","Levi's Stadium (Santa Clara, Calif.)",Denver,Carolina,24,10
LI,"Feb. 5, 2017",NRG Stadium (Houston),New England,Atlanta,34,28
LII,"Feb. 4, 2018",U.S. Bank Stadium (Minneapolis),Philadelphia,New England,41,33
LIII,"Feb. 3, 2019",Mercedes-Benz Stadium (Atlanta),New England,Los Angeles Rams,13,3
LIV,"Feb. 2, 2020",Hard Rock Stadium (Miami),Kansas City,San Francisco,31,20
LV,"Feb. 7, 2021","Raymond James Stadium (Tampa, Fla.)",Tampa Bay,Kansas City,31,9
LVI,"Feb. 13, 2022","SoFi Stadium (Inglewood, Calif.)",Los Angeles Rams,Cincinnati,23,20
LVII,"Feb. 12, 2023","State Farm Stadium (Glendale, Ariz.)",Kansas City,Philadelphia,38,35
LVIII,"Feb. 11, 2024",Allegiant Stadium (Las Vegas),Kansas City,San Francisco,25,22
LIX,"Feb. 9, 2025",Caesars Superdome (New Orleans),Philadelphia,Kansas City,40,22
LX,"Feb. 8, 2026","Levi's Stadium (Santa Clara, Calif.)",Seattle,New England,29,13
